"Country","Transaction","TIME","Year","Unit","PowerCode","GDP"
"4384","Greece","Gross value added at basic prices, excluding FISIM",2008,2008,"Percentage","units",-0.300320612244192
"4386","Greece","Gross value added at basic prices, excluding FISIM",2010,2010,"Percentage","units",-5.70076053472351
"4388","Greece","Gross value added at basic prices, excluding FISIM",2012,2012,"Percentage","units",-5.6947792014887
"4390","Greece","Gross value added at basic prices, excluding FISIM",2014,2014,"Percentage","units",0.516318916642883
"4392","Greece","Gross value added at basic prices, total activity",2009,2009,"Percentage","units",-3.5260679069607
"4394","Greece","Gross value added at basic prices, total activity",2011,2011,"Percentage","units",-8.78093197825221
"4396","Greece","Gross value added at basic prices, total activity",2013,2013,"Percentage","units",-3.70132599441264
"4398","Greece","of which: Manufacturing (ISIC rev4)",2008,2008,"Percentage","units",-7.85943248187564
"4400","Greece","of which: Manufacturing (ISIC rev4)",2010,2010,"Percentage","units",-18.7383238555364
"4402","Greece","of which: Manufacturing (ISIC rev4)",2012,2012,"Percentage","units",-6.23105434647243
"4404","Greece","of which: Manufacturing (ISIC rev4)",2014,2014,"Percentage","units",-0.180519208012915
"4406","Greece","Imports of services",2009,2009,"Percentage","units",-16.3178874684749
"4408","Greece","Imports of services",2011,2011,"Percentage","units",-12.0631663826993
"4410","Greece","Imports of services",2013,2013,"Percentage","units",-10.0684389745385
"4412","Greece","Gross domestic product (expenditure approach)",2008,2008,"Percentage","units",-0.444303748807401
"4414","Greece","Gross domestic product (expenditure approach)",2010,2010,"Percentage","units",-5.44874511679184
"4416","Greece","Gross domestic product (expenditure approach)",2012,2012,"Percentage","units",-6.5722555979156
"4418","Greece","Gross domestic product (expenditure approach)",2014,2014,"Percentage","units",0.774182389044783
"4420","Greece","Agriculture, forestry and fishing (ISIC rev4)",2009,2009,"Percentage","units",7.37895066716368
"4422","Greece","Agriculture, forestry and fishing (ISIC rev4)",2011,2011,"Percentage","units",-6.30004137550317
"4424","Greece","Agriculture, forestry and fishing (ISIC rev4)",2013,2013,"Percentage","units",-7.65890884237071
"4426","Greece","Industry, including energy (ISIC rev4)",2008,2008,"Percentage","units",-9.02019333551638
"4428","Greece","Industry, including energy (ISIC rev4)",2010,2010,"Percentage","units",-20.4535531144042
"4430","Greece","Industry, including energy (ISIC rev4)",2012,2012,"Percentage","units",-8.33106219371611
"4432","Greece","Industry, including energy (ISIC rev4)",2014,2014,"Percentage","units",-2.05118928245913
"4434","Greece","Construction (ISIC rev4)",2009,2009,"Percentage","units",-19.3963674359292
"4436","Greece","Construction (ISIC rev4)",2011,2011,"Percentage","units",-20.5007032255051
"4438","Greece","Construction (ISIC rev4)",2013,2013,"Percentage","units",-18.9146494517859
"4440","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2008,2008,"Percentage","units",2.0987611289146
"4442","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2010,2010,"Percentage","units",-7.2508856045969
"4444","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2012,2012,"Percentage","units",-4.85500275032462
"4446","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2014,2014,"Percentage","units",6.6743361325123
"4448","Greece","Information and communication (ISIC rev4)",2009,2009,"Percentage","units",-0.968834613655448
"4450","Greece","Information and communication (ISIC rev4)",2011,2011,"Percentage","units",-8.83828310257414
"4452","Greece","Information and communication (ISIC rev4)",2013,2013,"Percentage","units",4.17345377040745
"4454","Greece","Financial and insurance activities (ISIC rev4)",2008,2008,"Percentage","units",9.39494527482423
"4456","Greece","Financial and insurance activities (ISIC rev4)",2010,2010,"Percentage","units",-11.0459947980885
"4458","Greece","Financial and insurance activities (ISIC rev4)",2012,2012,"Percentage","units",-7.05588979617681
"4460","Greece","Financial and insurance activities (ISIC rev4)",2014,2014,"Percentage","units",-5.55864015987294
"4462","Greece","Real estate activities (ISIC rev4)",2009,2009,"Percentage","units",0.216445392186928
"4464","Greece","Real estate activities (ISIC rev4)",2011,2011,"Percentage","units",-3.54992901572472
"4466","Greece","Real estate activities (ISIC rev4)",2013,2013,"Percentage","units",0.756600402804077
"4468","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2008,2008,"Percentage","units",-0.432922657623477
"4470","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2010,2010,"Percentage","units",-21.119199317711
"4472","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2012,2012,"Percentage","units",-8.8225264211194
"4474","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2014,2014,"Percentage","units",-6.70950679695678
"4476","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2009,2009,"Percentage","units",-3.20284247584919
"4478","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2011,2011,"Percentage","units",-2.93833136032748
"4480","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2013,2013,"Percentage","units",-5.30512715398668
"4482","Greece","Other service activities (ISIC rev4)",2008,2008,"Percentage","units",-2.90776351529955
"4484","Greece","Other service activities (ISIC rev4)",2010,2010,"Percentage","units",-22.5358755239426
"4486","Greece","Other service activities (ISIC rev4)",2012,2012,"Percentage","units",5.23418159611466
"4488","Greece","Other service activities (ISIC rev4)",2014,2014,"Percentage","units",-0.432766361667034
"7498","Greece","Intellectual property product",2009,2009,"Euro","millions",3602.615719
"7500","Greece","Intellectual property product",2011,2011,"Euro","millions",3413.616544
"7502","Greece","Intellectual property product",2013,2013,"Euro","millions",2685.027395
"8088","Greece","Exports of goods and services",2008,2008,"Percentage","units",3.49830091045353
"8090","Greece","Exports of goods and services",2010,2010,"Percentage","units",4.63053133674012
"8092","Greece","Exports of goods and services",2012,2012,"Percentage","units",1.15045408631317
"8094","Greece","Exports of goods and services",2014,2014,"Percentage","units",8.959917504257
"8170","Greece","Dwellings",2009,2009,"Euro","millions",15246.313144
"8172","Greece","Dwellings",2011,2011,"Euro","millions",9577.53
"8174","Greece","Dwellings",2013,2013,"Euro","millions",4640.542248
"8220","Greece","Exports of services",2008,2008,"Percentage","units",6.26229152061556
"8222","Greece","Exports of services",2010,2010,"Percentage","units",2.5432285146147
"8224","Greece","Exports of services",2012,2012,"Percentage","units",-4.34383586470256
"8226","Greece","Exports of services",2014,2014,"Percentage","units",12.8795798047041
"8296","Greece","Exports of goods",2008,2008,"Percentage","units",0.0678170993766821
"8298","Greece","Exports of goods",2010,2010,"Percentage","units",7.18827910724658
"8300","Greece","Exports of goods",2012,2012,"Percentage","units",6.48672413643373
"8302","Greece","Exports of goods",2014,2014,"Percentage","units",5.68052750602703
"8356","Greece","Statistical discrepancy",2008,2008,"Euro","millions",-82.326368
"8358","Greece","Statistical discrepancy",2010,2010,"Euro","millions",0
"8360","Greece","Statistical discrepancy",2012,2012,"Euro","millions",-86.632133
"8362","Greece","Statistical discrepancy",2014,2014,"Euro","millions",-63.10937
"8548","Greece","Imports of goods and services",2008,2008,"Percentage","units",2.55729296368791
"8550","Greece","Imports of goods and services",2010,2010,"Percentage","units",-5.48603088988661
"8552","Greece","Imports of goods and services",2012,2012,"Percentage","units",-9.1131393082247
"8554","Greece","Imports of goods and services",2014,2014,"Percentage","units",7.41483063023633
"8636","Greece","Statistical discrepancy",2009,2009,"Euro","millions",183.539247
"8638","Greece","Statistical discrepancy",2011,2011,"Euro","millions",0
"8640","Greece","Statistical discrepancy",2013,2013,"Euro","millions",480.164385
"8738","Greece","Households and Non-profit institutions serving households",2009,2009,"Percentage","units",-1.01843739775602
"8740","Greece","Households and Non-profit institutions serving households",2011,2011,"Percentage","units",-10.6138082083664
"8742","Greece","Households and Non-profit institutions serving households",2013,2013,"Percentage","units",-1.97721892477459
"8798","Greece","Imports of goods and services",2008,2008,"Euro","millions",91346.545293
"8800","Greece","Imports of goods and services",2010,2010,"Euro","millions",69384.289275
"8802","Greece","Imports of goods and services",2012,2012,"Euro","millions",57359.350213
"8804","Greece","Imports of goods and services",2014,2014,"Euro","millions",60599.658609
"8970","Greece","Final consumption expenditure of non-profit institutions serving households",2008,2008,"Percentage","units",-2.93193886426042
"8972","Greece","Final consumption expenditure of non-profit institutions serving households",2010,2010,"Percentage","units",0.547785404336743
"8974","Greece","Final consumption expenditure of non-profit institutions serving households",2012,2012,"Percentage","units",0.765069163545099
"8976","Greece","Final consumption expenditure of non-profit institutions serving households",2014,2014,"Percentage","units",1.34867289831181
"9048","Greece","Exports of goods and services",2009,2009,"Euro","millions",47771.740976
"9050","Greece","Exports of goods and services",2011,2011,"Euro","millions",49983.991351
"9052","Greece","Exports of goods and services",2013,2013,"Euro","millions",51644.635286
"9136","Greece","Gross capital formation",2009,2009,"Euro","millions",42990.212288
"9138","Greece","Gross capital formation",2011,2011,"Euro","millions",31977.548281
"9140","Greece","Gross capital formation",2013,2013,"Euro","millions",21152.552101
"9296","Greece","Other buildings and structures",2008,2008,"Euro","millions",10025.769506
"9298","Greece","Other buildings and structures",2010,2010,"Euro","millions",8744.68596
"9300","Greece","Other buildings and structures",2012,2012,"Euro","millions",5740.978534
"9302","Greece","Other buildings and structures",2014,2014,"Euro","millions",5862.092863
"9470","Greece","Domestic demand",2008,2008,"Euro","millions",282711.370268168
"9472","Greece","Domestic demand",2010,2010,"Euro","millions",245610.799254
"9474","Greece","Domestic demand",2012,2012,"Euro","millions",199154.878225314
"9476","Greece","Domestic demand",2014,2014,"Euro","millions",190519.36915496
"9576","Greece","Imports of goods",2008,2008,"Euro","millions",73758.954241
"9578","Greece","Imports of goods",2010,2010,"Euro","millions",53675.127129
"9580","Greece","Imports of goods",2012,2012,"Euro","millions",45294.451675
"9582","Greece","Imports of goods",2014,2014,"Euro","millions",49296.802283
"9718","Greece","Taxes less subsidies on products",2008,2008,"Euro","millions",30872.704373
"9720","Greece","Taxes less subsidies on products",2010,2010,"Euro","millions",26564.211675
"9722","Greece","Taxes less subsidies on products",2012,2012,"Euro","millions",20953.502069
"9724","Greece","Taxes less subsidies on products",2014,2014,"Euro","millions",20363.518963
"9974","Greece","Transport equipment",2009,2009,"Euro","millions",9425.458892
"9976","Greece","Transport equipment",2011,2011,"Euro","millions",5357.732159
"9978","Greece","Transport equipment",2013,2013,"Euro","millions",2711.613222
"9994","Greece","of which: Actual individual consumption",2008,2008,"Euro","millions",197401.584077
"9996","Greece","of which: Actual individual consumption",2010,2010,"Euro","millions",183415.951479
"9998","Greece","of which: Actual individual consumption",2012,2012,"Euro","millions",151601.640019
"10000","Greece","of which: Actual individual consumption",2014,2014,"Euro","millions",148082.297186
"10200","Greece","Final consumption expenditure of households",2008,2008,"Euro","millions",168738.202954
"10202","Greece","Final consumption expenditure of households",2010,2010,"Euro","millions",154146.180872
"10204","Greece","Final consumption expenditure of households",2012,2012,"Euro","millions",126247.726269
"10206","Greece","Final consumption expenditure of households",2014,2014,"Euro","millions",125334.197075
"10632","Greece","Gross fixed capital formation",2008,2008,"Euro","millions",56904.945418
"10634","Greece","Gross fixed capital formation",2010,2010,"Euro","millions",39057.252376
"10636","Greece","Gross fixed capital formation",2012,2012,"Euro","millions",23169.715518
"10638","Greece","Gross fixed capital formation",2014,2014,"Euro","millions",21517.15034
"10674","Greece","Final consumption expenditure of households",2009,2009,"Percentage","units",-1.41849378747533
"10676","Greece","Final consumption expenditure of households",2011,2011,"Percentage","units",-10.8899576635889
"10678","Greece","Final consumption expenditure of households",2013,2013,"Percentage","units",-2.04374110825754
"10768","Greece","Final consumption expenditure of general government",2008,2008,"Percentage","units",-2.1475540416635
"10770","Greece","Final consumption expenditure of general government",2010,2010,"Percentage","units",-4.32552253060944
"10772","Greece","Final consumption expenditure of general government",2012,2012,"Percentage","units",-4.99157550302476
"10774","Greece","Final consumption expenditure of general government",2014,2014,"Percentage","units",-0.893061358983096
"10832","Greece","Gross fixed capital formation",2008,2008,"Percentage","units",-6.63633002871248
"10834","Greece","Gross fixed capital formation",2010,2010,"Percentage","units",-20.9275721276031
"10836","Greece","Gross fixed capital formation",2012,2012,"Percentage","units",-28.6645917568058
"10838","Greece","Gross fixed capital formation",2014,2014,"Percentage","units",2.65799367003354
"10956","Greece","Imports of services",2009,2009,"Euro","millions",14781.706192
"10958","Greece","Imports of services",2011,2011,"Euro","millions",13814.139779
"10960","Greece","Imports of services",2013,2013,"Euro","millions",10829.722684
"11310","Greece","Taxes on products",2008,2008,"Euro","millions",31342.135511
"11312","Greece","Taxes on products",2010,2010,"Euro","millions",26912.083
"11314","Greece","Taxes on products",2012,2012,"Euro","millions",21302.774473
"11316","Greece","Taxes on products",2014,2014,"Euro","millions",20720.064791
"11344","Greece","Final consumption expenditure of general government",2009,2009,"Euro","millions",51110.674892
"11346","Greece","Final consumption expenditure of general government",2011,2011,"Euro","millions",45684.391143
"11348","Greece","Final consumption expenditure of general government",2013,2013,"Euro","millions",40597.679807
"11726","Greece","Individual consumption expenditure of general government",2008,2008,"Euro","millions",25207.724658
"11728","Greece","Individual consumption expenditure of general government",2010,2010,"Euro","millions",24975.871134
"11730","Greece","Individual consumption expenditure of general government",2012,2012,"Euro","millions",21031.79778
"11732","Greece","Individual consumption expenditure of general government",2014,2014,"Euro","millions",18127.254904
"12182","Greece","Exports of goods",2008,2008,"Euro","millions",25192.874523
"12184","Greece","Exports of goods",2010,2010,"Euro","millions",23458.719946
"12186","Greece","Exports of goods",2012,2012,"Euro","millions",26211.872125
"12188","Greece","Exports of goods",2014,2014,"Euro","millions",28389.455176
"12300","Greece","Gross capital formation",2009,2009,"Percentage","units",-27.7297485821134
"12302","Greece","Gross capital formation",2011,2011,"Percentage","units",-16.4441078781407
"12304","Greece","Gross capital formation",2013,2013,"Percentage","units",-16.4693002500717
"12362","Greece","of which: Actual individual consumption",2008,2008,"Percentage","units",2.53201772260387
"12364","Greece","of which: Actual individual consumption",2010,2010,"Percentage","units",-5.97883035093409
"12366","Greece","of which: Actual individual consumption",2012,2012,"Percentage","units",-8.07759362567562
"12368","Greece","of which: Actual individual consumption",2014,2014,"Percentage","units",0.43563563164911
"12834","Greece","Imports of goods",2009,2009,"Percentage","units",-20.4368567858855
"12836","Greece","Imports of goods",2011,2011,"Percentage","units",-8.15750104974474
"12838","Greece","Imports of goods",2013,2013,"Percentage","units",0.424309591777391
"13320","Greece","Collective consumption expenditure of general government",2008,2008,"Percentage","units",-3.82622002211579
"13322","Greece","Collective consumption expenditure of general government",2010,2010,"Percentage","units",-9.60507753883617
"13324","Greece","Collective consumption expenditure of general government",2012,2012,"Percentage","units",-0.0546516431867148
"13326","Greece","Collective consumption expenditure of general government",2014,2014,"Percentage","units",4.1061648076279
"13334","Greece","Cultivated biological ressources",2009,2009,"Euro","millions",130.324025
"13336","Greece","Cultivated biological ressources",2011,2011,"Euro","millions",107.864291
"13338","Greece","Cultivated biological ressources",2013,2013,"Euro","millions",117.195478
"13508","Greece","Households and Non-profit institutions serving households",2008,2008,"Euro","millions",172374.070303
"13510","Greece","Households and Non-profit institutions serving households",2010,2010,"Euro","millions",158440.080345
"13512","Greece","Households and Non-profit institutions serving households",2012,2012,"Euro","millions",130547.494294
"13514","Greece","Households and Non-profit institutions serving households",2014,2014,"Euro","millions",129690.90883
"13586","Greece","Domestic demand",2008,2008,"Percentage","units",-0.301033577672497
"13588","Greece","Domestic demand",2010,2010,"Percentage","units",-7.19533958995713
"13590","Greece","Domestic demand",2012,2012,"Percentage","units",-9.18009439106692
"13592","Greece","Domestic demand",2014,2014,"Percentage","units",0.511668622807184
"13694","Greece","Collective consumption expenditure of general government",2009,2009,"Euro","millions",26466.088303
"13696","Greece","Collective consumption expenditure of general government",2011,2011,"Euro","millions",22384.455959
"13698","Greece","Collective consumption expenditure of general government",2013,2013,"Euro","millions",21235.882383
"14784","Greece","Individual consumption expenditure of general government",2009,2009,"Percentage","units",-2.23399008296166
"14786","Greece","Individual consumption expenditure of general government",2011,2011,"Percentage","units",-6.71022020016161
"14788","Greece","Individual consumption expenditure of general government",2013,2013,"Percentage","units",-7.94035951880477
"14984","Greece","Final consumption expenditure",2008,2008,"Percentage","units",1.78197862213808
"14986","Greece","Final consumption expenditure",2010,2010,"Percentage","units",-6.44285662831858
"14988","Greece","Final consumption expenditure",2012,2012,"Percentage","units",-7.16136801307109
"14990","Greece","Final consumption expenditure",2014,2014,"Percentage","units",0.85651597398321
"15566","Greece","Subsidies on products",2008,2008,"Euro","millions",467.07428
"15568","Greece","Subsidies on products",2010,2010,"Euro","millions",347.871325
"15570","Greece","Subsidies on products",2012,2012,"Euro","millions",351.546005
"15572","Greece","Subsidies on products",2014,2014,"Euro","millions",360.762068
"16106","Greece","Transport equipment",2009,2009,"Percentage","units",-16.0638705086133
"16108","Greece","Transport equipment",2011,2011,"Percentage","units",-29.9125730848832
"16110","Greece","Transport equipment",2013,2013,"Percentage","units",17.3841180057563
"16664","Greece","Exports of services",2009,2009,"Euro","millions",25867.243357
"16666","Greece","Exports of services",2011,2011,"Euro","millions",25368.836423
"16668","Greece","Exports of services",2013,2013,"Euro","millions",24689.399097
"17105","Germany","Transport equipment",2009,2009,"Percentage","units",-23.5470790905608
"17107","Germany","Transport equipment",2011,2011,"Percentage","units",-3.67999570608126
"17109","Germany","Transport equipment",2013,2013,"Percentage","units",-1.45336627249968
"17210","Greece","Final consumption expenditure of non-profit institutions serving households",2009,2009,"Euro","millions",4270.506263
"17212","Greece","Final consumption expenditure of non-profit institutions serving households",2011,2011,"Euro","millions",4263.827057
"17214","Greece","Final consumption expenditure of non-profit institutions serving households",2013,2013,"Euro","millions",4294.08918
"17777","Germany","Other buildings and structures",2008,2008,"Percentage","units",2.88170269208804
"17779","Germany","Other buildings and structures",2010,2010,"Percentage","units",1.73975211221467
"17781","Germany","Other buildings and structures",2012,2012,"Percentage","units",-2.92815967586736
"17783","Germany","Other buildings and structures",2014,2014,"Percentage","units",2.7146206461054
"18002","Greece","Dwellings",2009,2009,"Percentage","units",-18.7891909030948
"18004","Greece","Dwellings",2011,2011,"Percentage","units",-14.8070451217479
"18006","Greece","Dwellings",2013,2013,"Percentage","units",-27.6044394164829
"18090","Greece","Other buildings and structures",2009,2009,"Percentage","units",4.8374893588941
"18092","Greece","Other buildings and structures",2011,2011,"Percentage","units",-12.4482595713477
"18094","Greece","Other buildings and structures",2013,2013,"Percentage","units",-4.17997253567156
"18259","Germany","Dwellings",2009,2009,"Percentage","units",-3.36660030919758
"18261","Germany","Dwellings",2011,2011,"Percentage","units",10.0499977488632
"18263","Germany","Dwellings",2013,2013,"Percentage","units",0.624396309885713
"19565","Germany","External balance of goods and services",2008,2008,"Percentage","units",0.339102124942208
"19567","Germany","External balance of goods and services",2010,2010,"Percentage","units",28.1998116614398
"19569","Germany","External balance of goods and services",2012,2012,"Percentage","units",21.8510919495639
"19571","Germany","External balance of goods and services",2014,2014,"Percentage","units",5.72602081850644
"19573","Germany","Intellectual property product",2009,2009,"Percentage","units",1.19730640210584
"19575","Germany","Intellectual property product",2011,2011,"Percentage","units",6.79999767844084
"19577","Germany","Intellectual property product",2013,2013,"Percentage","units",1.3092611708339
"19580","Greece","External balance of goods and services",2009,2009,"Percentage","units",-21.734071097449
"19582","Greece","External balance of goods and services",2011,2011,"Percentage","units",-32.3380756959417
"19584","Greece","External balance of goods and services",2013,2013,"Percentage","units",-25.5178182220297
"19586","Greece","Cultivated biological ressources",2009,2009,"Percentage","units",-3.90348901925176
"19588","Greece","Cultivated biological ressources",2011,2011,"Percentage","units",42.7719820827099
"19590","Greece","Cultivated biological ressources",2013,2013,"Percentage","units",44.6207673809834
"19592","Greece","Intellectual property product",2008,2008,"Percentage","units",-10.9243828935815
"19594","Greece","Intellectual property product",2010,2010,"Percentage","units",5.429150574358
"19596","Greece","Intellectual property product",2012,2012,"Percentage","units",-22.6501424818499
"19598","Greece","Intellectual property product",2014,2014,"Percentage","units",-1.23795068392589
